이름,주소,전화번호,이메일,나이,성별,주민등록번호,은행계좌
김주원,강원도 남양주시,010-5192-9501,ybae@gmail.com,27,남,980401-1465933,신한 956-268-530677
한주원,대구광역시 남구,010-6933-0449,sbag@gmail.com,25,남,000701-3929947,국민 127504-72-532325
류하은,대전광역시 구로구,010-8123-2463,seonghyeon30@naver.com,24,여,011203-4184662,SC제일 111-33-235670
김서윤,대구광역시 구로구,010-3082-5924,jeonghyi04@gmail.com,29,여,960918-2451260,농협 850-6453-8253-673
권서현,전라북도 부천시,010-3813-9668,hayun20@naver.com,24,여,010922-4994164,하나 612-327141-71537
진은우,충청남도 성남시 중원구,010-1684-1163,misug81@gmail.com,28,남,970701-1550594,카카오 1751-74-4221965
김유준,경기도 성남시 중원구,010-7150-0030,gimjungsu@naver.com,22,남,031111-3310159,신한 445-281-423204
이준서,전라북도 원주시,010-4218-4147,dohyeon08@daum.net,25,남,000724-3675773,SC제일 550-71-500433
황지아,전라북도 고양시 일산동구,010-7682-6065,ibyeongceol@daum.net,23,여,021125-4363673,SC제일 022-58-301509
박채원,인천광역시 마포구,010-0857-3510,gyeongsug27@daum.net,22,여,030715-4750698,SC제일 070-62-398361
김이준,제주특별자치도 연천군,010-4609-4928,gojieun@daum.net,23,남,020226-3487274,신한 003-038-596320
이수아,울산광역시 양천구,010-4088-5894,eunyeong40@daum.net,29,여,960721-2147538,하나 877-780541-24758
류서준,대전광역시 구로구,010-7087-5362,seongjinjang@gmail.com,21,남,040411-3376565,국민 703221-41-446182
이은우,부산광역시 도봉구,010-3540-7164,seunghyeon19@daum.net,29,남,960718-1979175,국민 403658-97-380883
한수아,인천광역시 중랑구,010-8483-8234,gwangsu83@naver.com,28,여,970907-2805920,하나 763-507115-31701
이민준,제주특별자치도 청주시 흥덕구,010-2669-2597,oi@naver.com,27,남,980415-1577833,SC제일 857-97-822798
박지호,서울특별시 강남구,010-2008-0156,migyeongbag@naver.com,20,남,050224-3761149,하나 332-137943-64395
이서준,충청북도 안양시 만안구,010-8647-8002,rson@daum.net,22,남,030403-3685679,신한 605-491-071220
최서연,제주특별자치도 영동군,010-1691-8469,gyeonghyi52@naver.com,28,여,971115-2572872,하나 447-452144-05227
이서준,강원도 과천시,010-8764-0559,ansangceol@naver.com,23,남,020813-3960367,국민 919175-62-845970
최지원,전라남도 포천시,010-7394-9443,yeonghyi44@naver.com,26,여,990206-2538996,농협 113-3769-0728-966
김아영,강원도 안성시,010-5494-4483,ieunyeong@gmail.com,29,여,960909-2945944,SC제일 931-81-215475
안도윤,강원도 서산시,010-0672-4418,seoyeon99@gmail.com,29,남,960507-1419491,카카오 1429-33-5230019
안지우,제주특별자치도 군포시,010-4726-1551,jeongsig39@naver.com,25,여,000523-4196512,하나 781-127165-06511
구시우,대구광역시 마포구,010-8687-2722,jeongung67@naver.com,22,남,030508-3244364,신한 135-906-251195
구도윤,대전광역시 강북구,010-0519-7476,obag@daum.net,24,남,011112-3789456,우리 311-388-220204
박지호,전라남도 성남시,010-9610-3734,gyeongsugseong@gmail.com,25,남,000213-3096810,우리 203-691-596459
